id,q9p1educ,q9p2educ,q9p3educ,q9p4educ,q9p5educ,q9p6educ,q9p7educ,q9p8educ,q9p9educ,q9p1age,q9p2age,q9p3age,q9p4age,q9p5age,q9p6age,q9p7age,q9p8age,q9p9age,maxage
1,3,3,,,,,,,,55,31,,,,,,,,55
2,,2,3,3,3,3,3,2,2,,46,54,27,21,18,20,12,9,54
3,2,3,,,,,,,,52,58,,,,,,,,58
4,3,4,3,,,,,,,23,43,18,,,,,,,43
5,3,4,,,,,,,,29,23,11,,,,,,,29
6,3,,4,1,,,,,,55,,,2,,,,,,55
7,3,3,2,,,,,,,43,44,10,,,,,,,44
8,3,,3,3,3,2,1,,,75,,39,38,21,11,2,,,75
9,3,,3,1,,,,,,52,,27,4,,,,,,52
10,3,3,3,3,,,,,,25,51,18,13,,,,,,51
11,3,3,,,,,,,,48,,,,,,,,,48
